,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Nuevo acceso
410,2018,3,Catamarca,32.91594537411041,33.57426428159262
411,2018,3,Chaco,32.283100833077576,32.92876284973913
412,2018,3,Chubut,56.391745852269025,57.51958076931441
413,2018,3,Córdoba,64.24210026029336,65.52694226549923
414,2018,3,Corrientes,34.24993887383215,34.93493765130879
415,2018,3,Entre Ríos,50.222013858377494,51.22645413554505
416,2018,3,Formosa,29.576573428878444,30.16810489745601
417,2018,3,Jujuy,23.263700137195517,23.728974139939428
418,2018,3,La Pampa,71.75023651844843,73.1852412488174
419,2018,3,La Rioja,50.73304318059562,51.74770404420754
420,2018,3,Mendoza,37.990597267996215,38.75040921335614
421,2018,3,Misiones,32.10366641805902,32.7457397464202
422,2018,3,Neuquén,60.48661674396911,61.69634907884849
423,2018,3,Río Negro,50.54264808703746,51.553501048778216
424,2018,3,Salta,39.42741342068409,40.215961689097774
425,2018,3,San Juan,33.05141650392377,33.71244483400224
426,2018,3,San Luis,52.35311497551916,53.40017727502955
427,2018,3,Santa Cruz,32.72785029455932,33.3824073004505
428,2018,3,Santa Fe,63.4096146162309,64.67780690855551
429,2018,3,Santiago Del Estero,36.24961697805127,36.9746093176123
430,2018,3,Tierra Del Fuego,92.77191839394062,94.62735676181944
431,2018,3,Tucumán,41.68101359528755,42.514633867193304
432,2018,2,Buenos Aires,62.78226651094991,64.0379118411689
433,2018,2,Capital Federal,106.53494128146691,108.66564010709625
434,2018,2,Catamarca,32.8575008674866,33.514650884836335
435,2018,2,Chaco,31.251704996034892,31.87673909595559
436,2018,2,Chubut,54.90230333735512,56.000349404102224
437,2018,2,Córdoba,63.2743661231958,64.53985344565972
438,2018,2,Corrientes,33.80975390881165,34.485948986987886
439,2018,2,Entre Ríos,49.20261187052838,50.186664107938945
440,2018,2,Formosa,29.434226520796997,30.022911051212937
441,2018,2,Jujuy,23.432202729854474,23.900846784451563
442,2018,2,La Pampa,71.04033787278055,72.46114463023616
443,2018,2,La Rioja,50.97789073923241,51.997448554017055
444,2018,2,Mendoza,36.97287272406129,37.712330178542516
445,2018,2,Misiones,31.630907682221824,32.26352583586626
446,2018,2,Neuquén,60.23679161402031,61.44152744630072
447,2018,2,Río Negro,50.147894623963396,51.15085251644266
448,2018,2,Salta,39.93719209989731,40.73593594189526
449,2018,2,San Juan,32.94664884868421,33.6055818256579
450,2018,2,San Luis,15.150424491351385,15.453432981178413
451,2018,2,Santa Cruz,33.33236451006607,33.9990118002674
452,2018,2,Santa Fe,62.57079239957442,63.82220824756591
453,2018,2,Santiago Del Estero,35.256464211164236,35.96159349538752
454,2018,2,Tierra Del Fuego,91.60519629538562,93.43730022129334
455,2018,2,Tucumán,41.512563170017415,42.342814433417765
456,2018,1,Buenos Aires,62.62621166168454,63.878735894918236
457,2018,1,Capital Federal,106.23567174586837,108.36038518078574
458,2018,1,Catamarca,32.79361613741535,33.44948846016366
459,2018,1,Chaco,30.829927645702472,31.44652619861652
460,2018,1,Chubut,53.71560488248906,54.78991698013884
461,2018,1,Córdoba,63.51716965201617,64.7875130450565
462,2018,1,Corrientes,32.66346087317512,33.31673009063862
463,2018,1,Entre Ríos,48.68120241785722,49.65482646621437
464,2018,1,Formosa,21.404310259211442,21.83239646439567
465,2018,1,Jujuy,23.121260875677535,23.583686093191087
466,2018,1,La Pampa,71.75163692275797,73.18666966121313
467,2018,1,La Rioja,51.44351011244806,52.47238031469702
468,2018,1,Mendoza,37.07215110240331,37.81359412445138
469,2018,1,Misiones,30.95673588446963,31.575870602159025
470,2018,1,Neuquén,61.517390351563726,62.747738158595
471,2018,1,Río Negro,49.816861312232405,50.81319853847705
472,2018,1,Salta,39.775591632918804,40.57110346557718
473,2018,1,San Juan,32.60917745169287,33.26136100072673
474,2018,1,San Luis,15.14879034827491,15.451766155240408
475,2018,1,Santa Cruz,33.55275989857616,34.22381509654769
476,2018,1,Santa Fe,62.28199844300957,63.52763841186976
477,2018,1,Santiago Del Estero,34.9882694482421,35.68803483720694
478,2018,1,Tierra Del Fuego,65.19963702359347,66.50362976406534
479,2018,1,Tucumán,41.176009388866156,41.99952957664348
480,2017,4,Buenos Aires,57.609615290258205,58.76180759606337
481,2017,4,Capital Federal,122.89742418734991,125.35537267109692
482,2017,4,Catamarca,28.620950093924897,29.193369095803394
483,2017,4,Chaco,30.808158111236537,31.424321273461267
484,2017,4,Chubut,51.46309626749354,52.49235819284341
485,2017,4,Córdoba,63.33262565207773,64.59927816511929
