,Año,Trimestre,Provincia,Accesos por cada 100 hab
494,2017,4,Neuquén,18.2308851652642
495,2017,4,Río Negro,15.187813662722721
496,2017,4,Salta,9.638816535753657
497,2017,4,San Juan,7.718528602820455
498,2017,4,San Luis,3.0299272402737993
499,2017,4,Santa Cruz,8.603821648608145
500,2017,4,Santa Fe,19.405680474329014
501,2017,4,Santiago Del Estero,7.228687949666727
502,2017,4,Tierra Del Fuego,17.758493353028065
503,2017,4,Tucumán,9.883286960651205
504,2017,3,Buenos Aires,17.935870973592106
505,2017,3,Capital Federal,51.2444496511116
506,2017,3,Catamarca,8.265091234974188
507,2017,3,Chaco,8.012103738024656
508,2017,3,Chubut,14.16737183585357
509,2017,3,Córdoba,19.076953915608296
510,2017,3,Corrientes,8.470212670540503
511,2017,3,Entre Ríos,13.741494179292031
512,2017,3,Formosa,5.43429504811395
513,2017,3,Jujuy,5.791142800512126
514,2017,3,La Pampa,22.780807976856142
515,2017,3,La Rioja,13.700651079810719
516,2017,3,Mendoza,9.964323465862444
517,2017,3,Misiones,8.227833589371523
518,2017,3,Neuquén,18.10848135178631
519,2017,3,Río Negro,14.924361907723748
520,2017,3,Salta,9.649427484390076
521,2017,3,San Juan,8.245115565495915
522,2017,3,San Luis,4.429809174940647
523,2017,3,Santa Cruz,9.907366563740627
524,2017,3,Santa Fe,19.152164898849556
525,2017,3,Santiago Del Estero,8.716515836151316
526,2017,3,Tierra Del Fuego,19.492764396867877
527,2017,3,Tucumán,9.833448455500244
528,2017,2,Buenos Aires,18.104156481000473
529,2017,2,Capital Federal,52.236738675121046
530,2017,2,Catamarca,6.608185687419579
531,2017,2,Chaco,7.763587198662014
532,2017,2,Chubut,10.897114883440475
533,2017,2,Córdoba,18.05661531060883
534,2017,2,Corrientes,8.265165616133114
535,2017,2,Entre Ríos,13.571663585663645
536,2017,2,Formosa,5.0818187061685505
537,2017,2,Jujuy,5.729417105648426
538,2017,2,La Pampa,20.920811368324546
539,2017,2,La Rioja,4.313641371128342
540,2017,2,Mendoza,8.863231962926129
541,2017,2,Misiones,8.196262181174568
542,2017,2,Neuquén,18.43063459528346
543,2017,2,Río Negro,14.1565144707972
544,2017,2,Salta,7.929941866624195
545,2017,2,San Juan,6.869062671706707
546,2017,2,San Luis,2.7229996991951935
547,2017,2,Santa Cruz,7.812000426302888
548,2017,2,Santa Fe,16.436519275562326
549,2017,2,Santiago Del Estero,3.5041532386183105
550,2017,2,Tierra Del Fuego,20.30130511507835
551,2017,2,Tucumán,9.459823731438563
552,2017,1,Buenos Aires,18.804855031011677
553,2017,1,Capital Federal,45.687714654171046
554,2017,1,Catamarca,6.527341318167275
555,2017,1,Chaco,7.65022534015797
556,2017,1,Chubut,10.932503392025788
557,2017,1,Córdoba,17.652242570602198
558,2017,1,Corrientes,8.147787146784857
559,2017,1,Entre Ríos,13.427434245008815
560,2017,1,Formosa,5.050590921688212
561,2017,1,Jujuy,5.81976940765058
562,2017,1,La Pampa,20.649049712429974
563,2017,1,La Rioja,4.311444393660782
564,2017,1,Mendoza,8.886706245725367
565,2017,1,Misiones,8.041713210556319
566,2017,1,Neuquén,18.166254008454768
567,2017,1,Río Negro,14.158945655638249
568,2017,1,Salta,7.8901262912821775
569,2017,1,San Juan,6.887390312005832
570,2017,1,San Luis,2.7319835263877543
571,2017,1,Santa Cruz,7.89382704275053
572,2017,1,Santa Fe,16.34225474583628
573,2017,1,Santiago Del Estero,3.6488508898009986
574,2017,1,Tierra Del Fuego,20.435486705666722
575,2017,1,Tucumán,9.388852799951817
576,2016,4,Buenos Aires,18.578640735833826
577,2016,4,Capital Federal,45.78373827727234
578,2016,4,Catamarca,6.720813040873304
579,2016,4,Chaco,7.653240095890541
580,2016,4,Chubut,10.959254911598952
581,2016,4,Córdoba,17.57129145976522
582,2016,4,Corrientes,8.119896031116928
583,2016,4,Entre Ríos,13.451982739190726
584,2016,4,Formosa,5.02928480990009
585,2016,4,Jujuy,5.758804384392255
586,2016,4,La Pampa,20.670760836407798
587,2016,4,La Rioja,4.350562085368715
588,2016,4,Mendoza,8.910941733480245
589,2016,4,Misiones,8.047024567428018
590,2016,4,Neuquén,17.993247493890816
591,2016,4,Río Negro,14.170250609480686
592,2016,4,Salta,7.865487548426057
593,2016,4,San Juan,6.913287316652287
594,2016,4,San Luis,2.7410268293938924
595,2016,4,Santa Cruz,7.940780215262837
596,2016,4,Santa Fe,16.345011971501133
597,2016,4,Santiago Del Estero,3.719720429331573
598,2016,4,Tierra Del Fuego,20.57132386392357
599,2016,4,Tucumán,9.349553397483637
600,2016,3,Buenos Aires,18.295308597951934
601,2016,3,Capital Federal,45.85472026772204
602,2016,3,Catamarca,6.72059087375157
603,2016,3,Chaco,7.706877803276395
604,2016,3,Chubut,11.041169584989312
605,2016,3,Córdoba,17.78550480431242
606,2016,3,Corrientes,8.161726730902307
607,2016,3,Entre Ríos,13.552371996148606
608,2016,3,Formosa,4.733748023050463
609,2016,3,Jujuy,5.76400350138348
610,2016,3,La Pampa,20.294829381412075
611,2016,3,La Rioja,4.529887087279927
612,2016,3,Mendoza,8.930444449562124
613,2016,3,Misiones,8.121652823521027
614,2016,3,Neuquén,17.862151015228427
615,2016,3,Río Negro,14.220201565227184
616,2016,3,Salta,7.955372391224448
617,2016,3,San Juan,6.939188629814689
618,2016,3,San Luis,2.7472425273887247
619,2016,3,Santa Cruz,7.932484607529773
620,2016,3,Santa Fe,16.529361932364445
621,2016,3,Santiago Del Estero,3.794480871177055
622,2016,3,Tierra Del Fuego,20.307103192524696
623,2016,3,Tucumán,9.358616360369721
624,2016,2,Buenos Aires,18.098684568289556
625,2016,2,Capital Federal,45.59375712104128
626,2016,2,Catamarca,6.632980570132604
627,2016,2,Chaco,7.642896733294073
628,2016,2,Chubut,11.074824787933132
629,2016,2,Córdoba,17.620348014320207
630,2016,2,Corrientes,8.053039893831306
631,2016,2,Entre Ríos,13.377306134693265
632,2016,2,Formosa,4.930439412017454
633,2016,2,Jujuy,5.597761384701527
634,2016,2,La Pampa,19.91385540427254
635,2016,2,La Rioja,4.4934890589340855
636,2016,2,Mendoza,8.96594364845842
637,2016,2,Misiones,7.964976216879448
638,2016,2,Neuquén,17.594175765043765
639,2016,2,Río Negro,14.224291356155328
640,2016,2,Salta,7.770812428027119
641,2016,2,San Juan,6.964997582946448
642,2016,2,San Luis,2.7487304539676813
643,2016,2,Santa Cruz,7.955357767523354
644,2016,2,Santa Fe,16.489119309020037
645,2016,2,Santiago Del Estero,3.943453095409565
646,2016,2,Tierra Del Fuego,20.081326844262296
647,2016,2,Tucumán,9.224512334342581
648,2016,1,Buenos Aires,17.53507921643952
649,2016,1,Capital Federal,43.75778412718348
650,2016,1,Catamarca,6.606879526910472
651,2016,1,Chaco,7.524734075579937
652,2016,1,Chubut,11.115931499378867
653,2016,1,Córdoba,16.972666239608547
654,2016,1,Corrientes,7.940601449315725
655,2016,1,Entre Ríos,13.142540095674788
